Priority,Severity,File,Lines,Method,Pattern,Complexity,Issue_Count,Example_Code,Recommended_Fix,Est_Impact
CRITICAL,HIGH,RoadManager.cs,110-113,PlaceRoad,List.Contains in loop,O(n²),2,"if (!_roadGraph[gridPos].Contains(nb)) _roadGraph[gridPos].Add(nb);","Replace List<Vector2Int> with HashSet<Vector2Int>","Remove ~2000 O(n) operations per map"
CRITICAL,HIGH,BuildingRegistry.cs,54-90,Register*,Contains before Add/Remove,O(n),4,"if (output == null || _allOutputs.Contains(output)) return;","Replace List<T> with HashSet<T> for all 4 registration methods","Improve 100+ building startup by 5-10ms"
CRITICAL,HIGH,RoadCoverageVisualizer.cs,322-391,ApplyRoadColors/ClearVisualsHard,GetComponent in loop,O(n×m),3,"var hl = tile.GetComponent<RoadTileHighlighter>();","Cache components in Dictionary<RoadTile, Component>","Remove 100+ GetComponent calls per update"
CRITICAL,HIGH,LogisticsPathfinder.cs,301-315,FindNearestRoads,Triple nested loops,O(radius³),1,"for(r=1;r<=5;r++) for(x...) for(z...)","Use intelligent spiral BFS or limit search radius","Improve worst-case pathfinding by 10-50x"
CRITICAL,MEDIUM,AuraManager.cs,43-48,Register/UnregisterEmitter,List.Contains,O(n),2,"if (!_allEmitters.Contains(emitter)) _allEmitters.Add(emitter);","Replace List<AuraEmitter> with HashSet<AuraEmitter>","Improve emitter registration O(n) to O(1)"
CRITICAL,MEDIUM,EventManager.cs,134-135,CheckForEvents,Any() scan,O(n),2,"bool hasActivePandemic = _allBuildings.Any(b => b.CurrentEventType == EventType.Pandemic);","Cache activePandemicCount counter instead of scanning","Remove O(n) scan every 1-30 minutes"
CRITICAL,MEDIUM,EventManager.cs,202-213,TriggerEvent,GetComponent in LINQ,O(n×m),1,"eligibleBuildings = eligibleBuildings.Where(b => b.GetComponent<Residence>() != null)","Cache Residence component in EventAffected.CachedResidence","Remove 200+ GetComponent calls per event"
HIGH,MEDIUM,BuildingInputInventory.cs,183-185,GetSlotForResource,FirstOrDefault loop,O(n),4,"return requiredResources.FirstOrDefault(s => s.resourceType == type);","Use Dictionary<ResourceType, StorageData>","Improve inventory lookups from O(n) to O(1)"
HIGH,MEDIUM,LogisticsManager.cs,75,GetBestRequest,Where().ToList LINQ,O(n),1,"var matchingRequests = _activeRequests.Where(r => r.RequestedType == resourceToDeliver).ToList();","Use Dictionary<ResourceType, List<Request>> grouping","Remove 50+ allocations per frame"
HIGH,LOW,ResourceProducer.cs,435,FindWarehouseAccess,List.Find,O(n),1,"ResourceCost cost = productionData.inputCosts.Find(c => c.resourceType == type);","Use Dictionary<ResourceType, ResourceCost>","Improve resource lookups from O(n) to O(1)"
MEDIUM,LOW,BuildingInputInventory.cs,208,AcceptsResource,List.Exists,O(n),1,"return requiredResources.Exists(s => s.resourceType == type);","Use HashSet<ResourceType> for O(1) lookup","Improve cart destination checks"
MEDIUM,LOW,ModularBuilding.cs,37-57,Register/UnregisterModule,List.Contains,O(n),2,"if (!_modules.Contains(module)) _modules.Add(module);","Use HashSet<BuildingModule> (low priority, n<=10)","Pattern consistency improvement"
MEDIUM,LOW,RoadCoverageVisualizer.cs,245-267,ComputeSeedsForSource,Nested building scan,O(w×h),1,"for(x=0;x<size.x;x++) for(y=0;y<size.y;y++)","Cache building perimeter when placed","Minor: w,h usually <= 5"
MEDIUM,LOW,GroupOperationHandler.cs,91-102,CollectRoadsUnderBuildings,Nested building scan,O(n×w×h),1,"foreach(building...) for(x...) for(y...)","Cache building footprints in GridSystem","Optimize mass copy/move operations"
MEDIUM,LOW,RoadCoverageVisualizer.cs,386-391,ClearVisualsHard,Double iteration,O(n²),1,"foreach(kv...) { ... GetComponent ... }","Combine iterations or cache components","Minor optimization"
